Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
131,7/1/2016 7:56,7/1/2016 7:58,3196,Riverview Park,40.7443187,-74.0439909,3198,Heights Elevator,40.74871595,-74.0404433,25832,Subscriber,1990,1
635,7/1/2016 7:56,7/1/2016 8:07,3192,Liberty Light Rail,40.7112423,-74.0557013,3184,Paulus Hook,40.7141454,-74.0335519,24488,Subscriber,1974,1
130,7/1/2016 7:58,7/1/2016 8:00,3211,Newark Ave,40.72152515,-74.04630454,3213,Van Vorst Park,40.71848892,-74.04772663,24603,Subscriber,1972,1
849,7/1/2016 7:59,7/1/2016 8:13,3214,Essex Light Rail,40.7127742,-74.0364857,3202,Newport PATH,40.7272235,-74.0337589,24524,Subscriber,1963,1
212,7/1/2016 8:00,7/1/2016 8:03,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24653,Subscriber,1985,2
278,7/1/2016 8:01,7/1/2016 8:06,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24478,Subscriber,1970,1
550,7/1/2016 8:01,7/1/2016 8:11,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,24594,Subscriber,1971,2
117,7/1/2016 8:02,7/1/2016 8:04,3185,City Hall,40.7177325,-74.043845,3186,Grove St PATH,40.71958612,-74.04311746,24430,Subscriber,1982,2
572,7/1/2016 8:03,7/1/2016 8:13,3199,Newport Pkwy,40.7287448,-74.0321082,3184,Paulus Hook,40.7141454,-74.0335519,24575,Subscriber,1959,1
204,7/1/2016 8:05,7/1/2016 8:08,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24583,Subscriber,1972,1
322,7/1/2016 8:05,7/1/2016 8:10,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24407,Subscriber,1982,1
414,7/1/2016 8:07,7/1/2016 8:14,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24626,Subscriber,1983,2
333,7/1/2016 8:07,7/1/2016 8:13,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,24408,Subscriber,1980,1
555,7/1/2016 8:09,7/1/2016 8:18,3201,Dey St,40.737711,-74.066921,3210,Pershing Field,40.74267714,-74.05178863,24587,Subscriber,1978,0
464,7/1/2016 8:10,7/1/2016 8:18,3185,City Hall,40.7177325,-74.043845,3203,Hamilton Park,40.72759597,-74.04424731,24517,Subscriber,1990,2
370,7/1/2016 8:10,7/1/2016 8:16,3201,Dey St,40.737711,-74.066921,3195,Sip Ave,40.73074263,-74.06378388,24522,Subscriber,1962,1
138,7/1/2016 8:10,7/1/2016 8:12,3199,Newport Pkwy,40.7287448,-74.0321082,3202,Newport PATH,40.7272235,-74.0337589,24608,Subscriber,1980,1
963,7/1/2016 8:10,7/1/2016 8:26,3192,Liberty Light Rail,40.7112423,-74.0557013,3183,Exchange Place,40.7162469,-74.0334588,24589,Subscriber,1976,1
119,7/1/2016 8:10,7/1/2016 8:12,3199,Newport Pkwy,40.7287448,-74.0321082,3202,Newport PATH,40.7272235,-74.0337589,24507,Subscriber,1984,2
411,7/1/2016 8:11,7/1/2016 8:18,3214,Essex Light Rail,40.7127742,-74.0364857,3202,Newport PATH,40.7272235,-74.0337589,24548,Subscriber,1983,1
297,7/1/2016 8:11,7/1/2016 8:16,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24616,Subscriber,1984,1
574,7/1/2016 8:11,7/1/2016 8:21,3193,Lincoln Park,40.7246051,-74.07840595,3195,Sip Ave,40.73074263,-74.06378388,24680,Subscriber,1991,2
492,7/1/2016 8:11,7/1/2016 8:19,3199,Newport Pkwy,40.7287448,-74.0321082,3183,Exchange Place,40.7162469,-74.0334588,24492,Subscriber,1988,1
1691,7/1/2016 8:12,7/1/2016 8:40,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24405,Subscriber,1981,1
214,7/1/2016 8:12,7/1/2016 8:16,3187,Warren St,40.7211236,-74.03805095,3186,Grove St PATH,40.71958612,-74.04311746,24682,Subscriber,1990,1
229,7/1/2016 8:12,7/1/2016 8:16,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24402,Subscriber,1984,1
256,7/1/2016 8:14,7/1/2016 8:18,3187,Warren St,40.7211236,-74.03805095,3183,Exchange Place,40.7162469,-74.0334588,24615,Subscriber,1976,1
194,7/1/2016 8:14,7/1/2016 8:18,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24459,Subscriber,1973,1
165,7/1/2016 8:14,7/1/2016 8:17,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24650,Subscriber,1979,1
271,7/1/2016 8:16,7/1/2016 8:20,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24484,Subscriber,1985,1
178,7/1/2016 8:16,7/1/2016 8:19,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24633,Subscriber,1981,1
831,7/1/2016 8:17,7/1/2016 8:31,3215,Central Ave,40.7467299,-74.0492509,3186,Grove St PATH,40.71958612,-74.04311746,24528,Subscriber,1984,1
712,7/1/2016 8:18,7/1/2016 8:30,3205,JC Medical Center,40.71653978,-74.04963791,3202,Newport PATH,40.7272235,-74.0337589,24400,Subscriber,1973,2
356,7/1/2016 8:18,7/1/2016 8:24,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3195,Sip Ave,40.73074263,-74.06378388,24442,Customer,,0
3789,7/1/2016 8:19,7/1/2016 9:22,3203,Hamilton Park,40.72759597,-74.04424731,3203,Hamilton Park,40.72759597,-74.04424731,24517,Customer,,0
354,7/1/2016 8:20,7/1/2016 8:26,3187,Warren St,40.7211236,-74.03805095,3202,Newport PATH,40.7272235,-74.0337589,24486,Subscriber,1984,1
303,7/1/2016 8:20,7/1/2016 8:25,3203,Hamilton Park,40.72759597,-74.04424731,3187,Warren St,40.7211236,-74.03805095,24520,Subscriber,1983,1
86,7/1/2016 8:20,7/1/2016 8:22,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,24636,Subscriber,1975,1
274,7/1/2016 8:21,7/1/2016 8:25,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24698,Subscriber,1984,1
271,7/1/2016 8:21,7/1/2016 8:26,3186,Grove St PATH,40.71958612,-74.04311746,3183,Exchange Place,40.7162469,-74.0334588,24407,Subscriber,1967,1
321,7/1/2016 8:21,7/1/2016 8:27,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24625,Subscriber,1991,2
509,7/1/2016 8:21,7/1/2016 8:30,3183,Exchange Place,40.7162469,-74.0334588,3199,Newport Pkwy,40.7287448,-74.0321082,24699,Subscriber,1988,1
1814,7/1/2016 8:23,7/1/2016 8:53,3196,Riverview Park,40.7443187,-74.0439909,3183,Exchange Place,40.7162469,-74.0334588,24700,Subscriber,1983,1
